frame,cm_to_lane
1,NaN
2,NaN
3,NaN
4,NaN
5,NaN
6,NaN
7,NaN
8,NaN
9,184.4937112716293
10,182.87709523401423
11,183.33785295253267
12,184.03069916237231
13,NaN
14,NaN
15,NaN
16,NaN
17,NaN
18,NaN
19,NaN
20,NaN
21,NaN
22,187.71650350493138
23,188.6580188631915
24,189.8187298952142
25,191.24494607493892
26,NaN
27,NaN
28,NaN
29,NaN
30,NaN
31,NaN
32,NaN
33,NaN
34,208.55618164008268
35,210.09619992318164
36,211.90497224142808
37,213.46579642776334
38,NaN
39,NaN
40,NaN
41,NaN
42,NaN
43,NaN
44,NaN
45,NaN
46,230.20637395080416
47,233.57115908897765
48,234.4191708172031
49,236.69405294916407
50,NaN
51,NaN
52,NaN
53,93.35591931190731
54,NaN
55,NaN
56,NaN
57,NaN
58,244.27674170519896
59,241.93617474871024
60,240.48372123026428
61,238.60439200590633
62,NaN
63,NaN
64,NaN
65,NaN
66,NaN
67,NaN
68,NaN
69,NaN
70,221.641152546066
71,217.36496565769636
72,215.2536044155026
73,213.1597573530015
74,NaN
75,NaN
76,NaN
77,NaN
78,NaN
79,NaN
80,106.12612395510881
81,NaN
82,201.11306034216162
83,195.88438807590128
84,193.94808506000248
85,193.42186535167843
86,NaN
87,NaN
88,NaN
89,NaN
90,NaN
91,NaN
92,NaN
93,NaN
94,196.15060416741255
95,195.66455600948817
96,195.42190414004892
97,196.15060416741255
98,197.12562081125014
99,NaN
100,NaN
101,NaN
102,NaN
103,NaN
104,NaN
105,NaN
106,193.0086298227476
107,192.76861646611673
108,192.28931820775006
109,191.57215949496387
110,NaN
111,NaN
112,NaN
113,NaN
114,NaN
115,NaN
116,NaN
117,NaN
118,NaN
119,180.46314548332407
120,180.23543605528806
121,179.78061548501321
122,179.81978874219317
123,NaN
124,NaN
125,NaN
126,NaN
127,NaN
128,NaN
129,NaN
130,NaN
131,183.94561198066552
132,184.40852235467622
133,186.0358569487234
134,186.9707798035421
135,NaN
136,NaN
137,NaN
138,NaN
139,NaN
140,NaN
141,NaN
142,113.61203825878134
143,189.36659945159093
144,109.17913708265648
145,189.1519763540612
146,192.0047553474535
147,NaN
148,NaN
149,NaN
150,NaN
151,NaN
152,NaN
153,NaN
154,NaN
155,197.2169426931642
156,196.48488474161005
157,196.97267422033127
158,197.95118105961222
159,198.71790518997278
160,NaN
161,NaN
162,NaN
163,NaN
164,NaN
165,NaN
166,NaN
167,203.78722451036737
168,204.03833436181748
169,204.26660788589794
170,204.5182218078046
171,205.7801185023052
172,NaN
173,NaN
174,NaN
175,NaN
176,NaN
177,NaN
178,NaN
179,NaN
180,204.45132517236772
181,203.44660491906455
182,202.4459525925214
183,201.94716549644258
184,NaN
185,NaN
186,NaN
187,NaN
188,NaN
189,NaN
190,NaN
191,NaN
192,198.72944797753092
193,199.20060864653277
194,199.6938510981065
195,200.18809158439927
196,NaN
197,NaN
198,NaN
199,NaN
200,NaN
201,NaN
202,NaN
203,NaN
204,210.05134564349066
205,210.82483604395853
206,211.8598910371614
207,212.89924839907218
208,NaN
209,NaN
210,NaN
211,NaN
212,NaN
213,NaN
214,NaN
215,NaN
216,212.89924839907218
217,212.6389978912406
218,211.8598910371614
219,210.5448839677691
220,NaN
221,NaN
222,NaN
223,NaN
224,NaN
225,NaN
226,NaN
227,NaN
228,205.43861550172835
229,205.18603042472893
230,205.18603042472893
231,205.43861550172835
232,NaN
233,NaN
234,NaN
235,NaN
236,NaN
237,NaN
238,NaN
239,NaN
240,200.43559081983
241,200.68332996810796
242,200.43559081983
243,205.7240902794778
244,NaN
245,NaN
246,NaN
247,NaN
248,NaN
249,NaN
250,NaN
251,203.7094033789686
252,203.7094033789686
253,203.45870352012858
254,203.7094033789686
255,NaN
256,NaN
257,NaN
258,NaN
259,NaN
260,NaN
261,NaN
262,NaN
263,197.7367575197983
264,197.7367575197983
265,197.7367575197983
266,197.98167726318115
267,NaN
268,NaN
269,NaN
270,NaN
271,NaN
272,NaN
273,NaN
274,NaN
275,196.51587278413513
276,196.75954877621785
277,196.75954877621785
278,NaN
279,NaN
280,NaN
281,NaN
282,NaN
283,NaN
284,NaN
285,NaN
286,196.73430429209782
287,197.59142157919356
288,197.34682651705634
289,197.99287278405595
290,NaN
291,NaN
292,NaN
293,NaN
294,NaN
295,NaN
296,NaN
297,201.20085170188176
298,200.20928819690965
299,200.20928819690965
300,200.704569141619
301,NaN
302,NaN
303,NaN
304,NaN
305,NaN
306,NaN
307,NaN
308,NaN
309,204.70315433927055
310,205.4601515044372
311,205.4601515044372
312,NaN
313,NaN
314,NaN
315,NaN
316,NaN
317,NaN
318,NaN
319,NaN
320,209.79404769742843
321,210.30890466413138
322,210.56673538568307
323,210.82483604395853
324,NaN
325,NaN
326,NaN
327,NaN
328,NaN
329,NaN
330,NaN
331,NaN
332,220.05198643525154
333,221.12557888126287
334,223.01531113126146
335,NaN
336,NaN
337,NaN
338,NaN
339,NaN
340,NaN
341,NaN
342,NaN
343,220.85676037281206
344,220.27466064265928
345,220.27466064265928
346,NaN
347,NaN
348,NaN
349,NaN
350,NaN
351,NaN
352,NaN
353,NaN
354,207.4685510917149
355,207.21390778008077
356,205.18603042472893
357,NaN
358,NaN
359,NaN
360,NaN
361,NaN
362,NaN
363,NaN
364,NaN
365,201.1795883872309
366,201.676839713812
367,201.92585123849125
368,202.42461087366712
369,NaN
370,NaN
371,NaN
372,NaN
373,NaN
374,NaN
375,NaN
376,200.18809158439927
377,199.94084744073052
378,200.18809158439927
379,200.18809158439927
380,NaN
381,NaN
382,NaN
383,NaN
384,NaN
385,NaN
386,NaN
387,NaN
388,191.42158508191693
389,190.94485876954786
390,189.75718695772636
391,NaN
392,NaN
393,NaN
394,NaN
395,117.61498929040634
396,NaN
397,NaN
398,NaN
399,191.81096382577186
400,189.19693504797985
401,190.14420612077686
402,191.22389101523564
403,NaN
404,NaN
405,NaN
406,NaN
407,NaN
408,NaN
409,NaN
410,NaN
411,206.49511725379483
412,208.4694208954125
413,211.8159799227917
414,NaN
415,NaN
416,NaN
417,NaN
418,NaN
419,NaN
420,NaN
421,NaN
422,223.16132540836867
423,222.0794417388148
424,221.80967428961617
425,221.54020377227158
426,NaN
427,NaN
428,NaN
429,NaN
430,NaN
431,NaN
432,NaN
433,NaN
434,210.73097515720434
435,208.93102108523794
436,206.54035284091128
437,NaN
438,NaN
439,NaN
440,180.7304108858316
441,NaN
442,NaN
443,NaN
444,NaN
445,196.54776445369498
446,195.81776873149462
447,195.57493889137794
448,195.27589872588604
449,NaN
450,NaN
451,NaN
452,NaN
453,NaN
454,NaN
455,NaN
456,NaN
457,NaN
458,194.54999316358754
459,194.54999316358754
460,195.76107825605357
461,196.00400841710257
462,NaN
463,NaN
464,NaN
465,NaN
466,NaN
467,NaN
468,NaN
469,NaN
470,202.7397152345727
471,203.99257787972897
472,204.72505944479747
473,205.73496242929184
474,NaN
475,NaN
476,NaN
477,NaN
478,NaN
479,NaN
480,NaN
481,NaN
482,NaN
483,210.0295187178584
484,210.2870551469995
485,210.2870551469995
486,210.0295187178584
487,NaN
488,NaN
489,NaN
490,NaN
491,NaN
492,NaN
493,NaN
494,NaN
495,207.4685510917149
496,208.23408668443324
497,208.23408668443324
498,209.00196493052664
499,NaN
500,NaN
501,NaN
502,NaN
503,NaN
504,NaN
505,NaN
506,NaN
507,207.9786549025121
508,208.7457476000303
509,208.7457476000303
510,208.23408668443324
511,208.46845494529975
512,NaN
513,NaN
514,NaN
515,NaN
516,NaN
517,NaN
518,NaN
519,NaN
520,208.46845494529975
521,208.21276586441076
522,208.98062549793764
523,210.52343535289032
524,NaN
525,NaN
526,NaN
527,NaN
528,NaN
529,NaN
530,NaN
531,NaN
532,206.938284891296
533,207.70219303557369
534,207.44729596598575
535,207.95735863806644
536,NaN
537,NaN
538,NaN
539,NaN
540,NaN
541,NaN
542,NaN
543,NaN
544,216.8132299658993
545,214.96878897732995
546,215.75762742320603
547,217.3426954266045
548,217.3426954266045
549,NaN
550,NaN
551,NaN
552,NaN
553,NaN
554,NaN
555,NaN
556,NaN
557,218.13896749024804
558,218.67121121168572
559,218.93774729197895
560,219.20457635782137
561,NaN
562,NaN
563,NaN
564,NaN
565,NaN
566,NaN
567,NaN
568,NaN
569,220.27466064265928
570,219.7390489142863
571,219.7390489142863
572,219.47167364458173
573,NaN
574,NaN
575,NaN
576,NaN
577,NaN
578,NaN
579,NaN
580,NaN
581,217.3426954266045
582,217.07782352877442
583,216.0211017008979
584,216.0211017008979
585,NaN
586,NaN
587,NaN
588,NaN
589,NaN
590,NaN
591,NaN
592,NaN
593,214.18240865400836
594,213.39849799427478
595,212.35706341994654
596,211.0613048426918
597,NaN
598,NaN
599,NaN
600,NaN
601,NaN
602,NaN
603,NaN
604,NaN
605,209.77223523917468
606,201.20085170188176
607,200.20928819690965
608,199.4682517894301
609,NaN
610,NaN
611,NaN
612,NaN
613,NaN
614,NaN
615,NaN
616,NaN
617,192.43995277911094
618,192.20047127532536
619,191.00664413981826
620,191.00664413981826
621,NaN
622,NaN
623,NaN
624,NaN
625,NaN
626,NaN
627,NaN
628,NaN
629,NaN
630,192.8777326972195
631,193.59893315498942
632,193.81944886228823
633,194.78532380690763
634,NaN
635,NaN
636,NaN
637,NaN
638,NaN
639,NaN
640,NaN
641,NaN
642,199.94084744073052
643,200.43559081983
644,201.1795883872309
645,202.15417601883598
646,NaN
647,NaN
648,NaN
649,NaN
650,NaN
651,NaN
652,NaN
653,NaN
654,NaN
655,205.9233882437174
656,205.6703052060053
657,206.43031387508273
658,206.938284891296
659,NaN
660,NaN
661,NaN
662,NaN
663,NaN
664,NaN
665,NaN
666,NaN
667,203.90598298302768
668,203.65495571601554
669,203.65495571601554
670,NaN
671,NaN
672,NaN
673,NaN
674,NaN
675,NaN
676,NaN
677,NaN
678,NaN
679,203.65495571601554
680,205.41749192076827
681,205.9233882437174
682,NaN
683,NaN
684,NaN
685,NaN
686,NaN
687,NaN
688,NaN
689,NaN
690,NaN
691,220.54287457257772
692,221.88823511554335
693,222.96967858429838
694,NaN
695,NaN
696,NaN
697,NaN
698,NaN
699,NaN
700,NaN
701,NaN
702,NaN
703,229.00016728868178
704,229.27766982463032
705,229.8335263205497
706,NaN
707,NaN
708,NaN
709,NaN
710,NaN
711,NaN
712,NaN
713,NaN
714,229.8108448629216
715,228.97755444035636
716,228.97755444035636
717,228.42349634618404
718,NaN
719,NaN
720,NaN
721,NaN
722,NaN
723,NaN
724,NaN
725,NaN
726,225.39724426853383
727,225.67090402397082
728,226.4936066964973
729,226.76842160780956
730,NaN
731,NaN
732,NaN
733,NaN
734,NaN
735,NaN
736,NaN
737,NaN
738,226.21907973406599
739,227.0435371448338
740,226.4936066964973
741,227.31893707646435
742,NaN
743,NaN
744,NaN
745,NaN
746,NaN
747,NaN
748,NaN
749,237.4480100099998
750,240.32683976994196
751,240.90637710483423
752,241.75075964069623
753,NaN
754,NaN
755,NaN
756,NaN
757,NaN
758,NaN
759,NaN
760,NaN
761,250.62749059122842
762,251.53151529423099
763,253.34864120407877
764,254.18005887261984
765,NaN
766,NaN
767,NaN
768,NaN
769,NaN
770,NaN
771,NaN
772,NaN
773,264.1134520201368
774,263.16679935558955
775,262.53748788139274
776,261.90962489310056
777,NaN
778,NaN
779,NaN
780,NaN
781,NaN
782,NaN
783,NaN
784,247.52888251219667
785,245.45476999714515
786,243.0035868399193
787,242.12752225947554
788,NaN
789,NaN
790,NaN
791,NaN
792,NaN
793,NaN
794,NaN
795,NaN
796,235.22139431109218
797,234.9375239986017
798,234.6069367739894
799,235.74287420547745
800,NaN
801,NaN
802,NaN
803,NaN
804,NaN
805,NaN
806,NaN
807,NaN
808,230.94883583445142
809,232.06896831431442
810,232.3497547656056
811,NaN
812,NaN
813,NaN
814,NaN
815,NaN
816,NaN
817,NaN
818,NaN
819,NaN
820,240.6497477129451
821,240.93983816955512
822,241.52097389467872
823,NaN
824,NaN
825,NaN
826,NaN
827,NaN
828,NaN
829,NaN
830,NaN
831,247.10594522893905
832,247.37906942248208
833,248.57111548975485
834,249.46862013721233
835,NaN
836,NaN
837,NaN
838,NaN
839,NaN
840,NaN
841,NaN
842,NaN
843,246.48850868806443
844,245.60089140417608
845,245.3056677726281
846,244.69262134985468
847,NaN
848,NaN
849,NaN
850,NaN
851,NaN
852,NaN
853,NaN
854,NaN
855,236.88375344929267
856,236.00459592906248
857,235.7198486212057
858,234.5839878515959
859,NaN
860,NaN
861,NaN
862,NaN
863,NaN
864,NaN
865,NaN
866,NaN
867,226.7909126755016
868,225.96728968041697
869,225.14627459440374
870,224.60039003657965
871,NaN
872,NaN
873,NaN
874,NaN
875,NaN
876,NaN
877,NaN
878,NaN
879,220.8113860199789
880,218.67121121168572
881,218.4049584048509
882,218.13896749024804
883,221.88763502153347
884,NaN
885,NaN
886,NaN
887,NaN
888,NaN
889,NaN
890,NaN
891,NaN
892,214.39538388449054
893,214.39538388449054
894,213.87222970437062
895,213.87222970437062
896,NaN
897,NaN
898,NaN
899,NaN
900,NaN
901,NaN
902,NaN
903,NaN
904,207.42337875565596
905,206.4068699582767
906,205.64720200053182
907,204.63793666905067
908,NaN
909,NaN
910,NaN
911,NaN
912,NaN
913,NaN
914,NaN
915,NaN
916,196.08265316253463
917,195.35408782037976
918,194.60598902942917
919,193.42186535167843
920,NaN
921,NaN
922,NaN
923,NaN
924,NaN
925,NaN
926,NaN
927,NaN
928,189.6032626020451
929,189.36659945159093
930,188.6580188631915
931,187.71650350493138
932,NaN
933,NaN
934,NaN
935,NaN
936,NaN
937,NaN
938,NaN
939,NaN
940,187.24713435165128
941,187.4817088080365
942,187.71650350493138
943,187.24713435165128
944,NaN
945,NaN
946,NaN
947,NaN
948,NaN
949,NaN
950,NaN
951,NaN
952,185.61159510578287
953,185.3788636362947
